Account Name,Website,Billing State/Province,Opportunity Owner,Close Date,Est. Annual Construction Volume Range,USD Total Delta ARR,# of Pipeline Opps,Entry Channel (Category)
"JXR Constructors, Inc.","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fjxrconstructors.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://jxrconstructors.com (New Window)"">http://jxrconstructors.com</a>",CA,Michael Rutski,1/21/2021,10M-20M,"6,500.00",2,Unknown
HDS Construction Corp.,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fhudsonjones.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://hudsonjones.com (New Window)"">http://hudsonjones.com</a>",CA,Michael Rutski,1/13/2021,5M-10M,"8,806.00",1,Inbound
Hendrickson Construction Inc,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.hendricksoninc.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.hendricksoninc.com (New Window)"">http://www.hendricksoninc.com</a>",CO,David O'Neal,1/12/2021,5M-10M,"15,259.00",1,Inbound
WB Construction,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwbconstructiondev.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://wbconstructiondev.com/ (New Window)"">https://wbconstructiondev.com/</a>",GA,David O'Neal,1/8/2021,Less than 5M,"8,372.00",2,Inbound
DW Bruinius Construction LLC,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fdwbruinius.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://dwbruinius.com (New Window)"">http://dwbruinius.com</a>",IN,Michael Rutski,1/5/2021,5M-10M,"10,345.00",5,Unknown
"Graham General Contractor, LLC","<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwww.ggcokc.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://www.ggcokc.com/ (New Window)"">https://www.ggcokc.com/</a>",OK,Mike Gamble,12/30/2020,Less than 5M,"5,500.00",2,Inbound
Spaces General Contracting,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Funitedcor.org%2Fstate%2Fohio%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://unitedcor.org/state/ohio/ (New Window)"">https://unitedcor.org/state/ohio/</a>",MO,Mike Gamble,12/29/2020,5M-10M,"8,800.00",1,Inbound
Moducomm Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.moducomm.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.moducomm.com/ (New Window)"">http://www.moducomm.com/</a>",FL,Mike Gamble,12/28/2020,Less than 5M,"7,356.00",4,Inbound
"Uberous, Inc","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fuberousgroup.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://uberousgroup.com (New Window)"">http://uberousgroup.com</a>",CA,David O'Neal,12/28/2020,5M-10M,"11,034.00",1,Inbound
Fredrick Towers Incorporated,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Ffredricktowers.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://fredricktowers.com (New Window)"">http://fredricktowers.com</a>",CA,David O'Neal,12/22/2020,10M-20M,"12,691.00",5,Outbound
"Seacrest Developers, Inc.","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.seacrestdevelopers.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.seacrestdevelopers.com (New Window)"">http://www.seacrestdevelopers.com</a>",CA,Jesse Bustos,12/22/2020,10M-20M,"15,137.00",1,Inbound
Jomed Construction Corp,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fjomedconstruction.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://jomedconstruction.com (New Window)"">http://jomedconstruction.com</a>",FL,Michael Rutski,12/21/2020,10M-20M,"9,588.00",1,Outbound
Axis Construction Group LLC,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.acgbuilt.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.acgbuilt.com (New Window)"">http://www.acgbuilt.com</a>",MO,Christina Piperato,12/18/2020,5M-10M,"15,496.00",2,Unknown
Lindquist Custom Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Flccsf.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://lccsf.com (New Window)"">http://lccsf.com</a>",CA,Michael Rutski,12/16/2020,Less than 5M,"10,500.00",1,Inbound
Freestyle Builders,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fno%20website%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://no website (New Window)"">http://no website</a>",CA,Michael Rutski,12/15/2020,Less than 5M,"9,394.00",2,Inbound
Capital Construction Company,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fcapconnc.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://capconnc.com/ (New Window)"">https://capconnc.com/</a>",NC,Jesse Bustos,12/15/2020,5M-10M,"16,939.00",2,Unknown
Ideal Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fidealconstruction.com%2Fcontact-us%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://idealconstruction.com/contact-us/ (New Window)"">http://idealconstruction.com/contact-us/</a>",NE,Michael Rutski,12/15/2020,Less than 5M,"6,500.00",1,Unknown
"Ascendant Program Services, LLC.","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fascendantps.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://ascendantps.com (New Window)"">http://ascendantps.com</a>",MD,Michael Rutski,12/11/2020,10M-20M,"10,780.00",1,Inbound
"Heartwood Pacific, LLC","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fheartwoodpacific.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://heartwoodpacific.com (New Window)"">http://heartwoodpacific.com</a>",HI,Jesse Bustos,12/10/2020,10M-20M,"4,000.00",6,Unknown
"Lubin Enterprises, Inc","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.lubentinc.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.lubentinc.com (New Window)"">http://www.lubentinc.com</a>",TN,David O'Neal,12/9/2020,20M-50M,"8,656.00",3,Unknown
"Landry Group, LLC","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Flandrygroup.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://landrygroup.com (New Window)"">http://landrygroup.com</a>",AZ,David O'Neal,12/9/2020,Less than 5M,"9,500.00",2,Inbound
Virtual Energy Solutions Inc,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.virtualenergysolutions.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.virtualenergysolutions.com (New Window)"">http://www.virtualenergysolutions.com</a>",IL,David O'Neal,12/8/2020,Less than 5M,"6,500.00",1,Unknown
"GEN-CON Group, LLC","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fgencongroupllc.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://gencongroupllc.com (New Window)"">http://gencongroupllc.com</a>",MA,Christina Piperato,11/30/2020,Less than 5M,"7,500.00",2,Unknown
Perry Construction,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwww.linkedin.com%2Fin%2Fperry-construction-55b37366%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://www.linkedin.com/in/perry-construction-55b37366/ (New Window)"">https://www.linkedin.com/in/perry-construction-55b37366/</a>",TX,David O'Neal,11/30/2020,50M-100M,"9,158.00",1,Inbound
"Viking Construction, Inc.","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.vikingmaui.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.vikingmaui.com (New Window)"">http://www.vikingmaui.com</a>",HI,Jesse Bustos,11/30/2020,20M-50M,"11,389.00",4,Unknown
"Encompass IDBO, LLC","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.encompassidbo.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.encompassidbo.com (New Window)"">http://www.encompassidbo.com</a>",KS,Christina Piperato,11/30/2020,10M-20M,"24,410.00",1,Inbound
McWright LLC,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.mcwrightconstruction.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.mcwrightconstruction.com (New Window)"">http://www.mcwrightconstruction.com</a>",GA,Jesse Bustos,11/30/2020,5M-10M,"8,546.00",1,Inbound
"Angotti & Reilly, Inc.","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.angotti-reilly.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.angotti-reilly.com/ (New Window)"">http://www.angotti-reilly.com/</a>",CA,David O'Neal,11/30/2020,Less than 5M,"6,500.00",2,Outbound
URC West,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.urcwest.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.urcwest.com (New Window)"">http://www.urcwest.com</a>",CA,Jesse Bustos,11/23/2020,20M-50M,"22,319.00",6,Unknown
Milestone Construction Group,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwww.milestoneconstructiongrp.com%2Fcgi-sys%2Fdefaultwebpage.cgi%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://www.milestoneconstructiongrp.com/cgi-sys/defaultwebpage.cgi (New Window)"">https://www.milestoneconstructiongrp.com/cgi-sys/defaultwebpage.cgi</a>",CA,Jesse Bustos,11/18/2020,10M-20M,"39,147.00",1,Unknown
Harrison Fletcher Construction,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwww.harrisonconstructionteam.com%2Fteam.html%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://www.harrisonconstructionteam.com/team.html (New Window)"">https://www.harrisonconstructionteam.com/team.html</a>",TX,Mike Gamble,11/13/2020,Less than 5M,"9,247.00",2,Unknown
"Hawkins Custom Building Partners, Inc.","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fhawkinscbp.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://hawkinscbp.com (New Window)"">http://hawkinscbp.com</a>",MA,Mike Gamble,11/12/2020,Less than 5M,"8,372.00",1,Inbound
A. R. Marani Inc,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.armarani.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.armarani.com (New Window)"">http://www.armarani.com</a>",MD,Jesse Bustos,11/11/2020,10M-20M,"9,588.00",2,Inbound
"Newport Builders, Inc.","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.newport-builders.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.newport-builders.com (New Window)"">http://www.newport-builders.com</a>",RI,Jesse Bustos,11/11/2020,Less than 5M,"4,500.00",1,Inbound
Roanoke Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Froanoke-construction.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://roanoke-construction.com (New Window)"">http://roanoke-construction.com</a>",MO,Michael Rutski,11/10/2020,20M-50M,"17,888.00",1,Inbound
ACM Wyoming LLC,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Facmwyoming.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://acmwyoming.com (New Window)"">http://acmwyoming.com</a>",WY,Jesse Bustos,11/6/2020,10M-20M,"14,495.00",2,Inbound
IPI Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fipi1.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://ipi1.com (New Window)"">http://ipi1.com</a>",CA,Jesse Bustos,11/6/2020,5M-10M,"9,495.00",4,Outbound
Silvey Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fsilveyconstruction.com%2Fcontact%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://silveyconstruction.com/contact/ (New Window)"">http://silveyconstruction.com/contact/</a>",WA,David O'Neal,10/30/2020,5M-10M,"9,772.00",6,Outbound
Beacon Theatrical Services,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fbeacontheatrical.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://beacontheatrical.com (New Window)"">http://beacontheatrical.com</a>",NY,Mike Gamble,10/30/2020,Less than 5M,"6,933.00",1,Inbound
Kent Construction Company Incorporated,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.kentconstructionco.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.kentconstructionco.com (New Window)"">http://www.kentconstructionco.com</a>",DE,Michael Rutski,10/30/2020,10M-20M,"29,799.00",1,Outbound
Affordable Turn Key Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Faffordabletkc.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://affordabletkc.com (New Window)"">http://affordabletkc.com</a>",CA,David O'Neal,10/30/2020,Less than 5M,"4,500.00",1,Inbound
Walkcon Ltd,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.walkcon.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.walkcon.com (New Window)"">http://www.walkcon.com</a>",TX,Mike Gamble,10/29/2020,50M-100M,"26,375.00",2,Unknown
RSBM Management,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Frsbmmanagement.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://rsbmmanagement.com (New Window)"">http://rsbmmanagement.com</a>",NY,Michael Rutski,10/20/2020,Less than 5M,"6,500.00",1,Inbound
"SCM Solutions, LLC","<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fscmsllc.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://scmsllc.com/ (New Window)"">https://scmsllc.com/</a>",CO,Christina Piperato,10/16/2020,5M-10M,"7,500.00",2,Unknown
